Ld(0)/St(1)                   PC   Reference    Inf-miss FA-OPT-miss SA-OPT-miss SA-LRU-miss         Hit    Cap-miss    Map-miss   Repl-miss   Cold-miss    Function       Image Hit-not-MRU     Hit-MRU
          1       97094188073480           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073487        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073487           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073496        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073496           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073512           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073512        4096         253         253         253         253        3843         253           0           0           0        main matrixMultSimple        3843           0
          0       97094188073519        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple        4096           0
          1       97094188073519        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          0       97094188073526        4160           0           0           0           0        4160           0           0           0           0        main matrixMultSimple           0        4160
          1       97094188073526           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073535          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          1       97094188073535          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          0       97094188073542          65           0           0           0           0          65           0           0           0           0        main matrixMultSimple           0          65
          1       97094188073542           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073575           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073575           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           0           1
          0       97094188073580           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073580           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           0           1
          0       97094188073595           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073595          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          0       97094188073610           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073610        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          0       97094188073625      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073625           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073633      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073633           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073649      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073649           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073656      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073656           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073664      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073664           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073680      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      261888         256
          1       97094188073680           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073687      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      261888         256
          1       97094188073687           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073695      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073695           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073711      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073711           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073724      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073724           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073732      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073732           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073748           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073748      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          0       97094188073755      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073755      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          0       97094188073762      266240           0           0           0           0      266240           0           0           0           0        main matrixMultSimple           0      266240
          1       97094188073762           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073775        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073775        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          0       97094188073782        4160           0           0           0           0        4160           0           0           0           0        main matrixMultSimple           0        4160
          1       97094188073782           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073795          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          1       97094188073795          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          0       97094188073802          65           0           0           0           0          65           0           0           0           0        main matrixMultSimple           0          65
          1       97094188073802           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073830           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073830           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           0           1
          0       97094188073840           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           1           0
          1       97094188073840           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073844           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           1           0
          1       97094188073844           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073860           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           1           0
          1       97094188073860           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073861           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           0           1
          1       97094188073861           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073876           1           0           0           0           0           1           0           0           0           0       _fini matrixMultSimple           0           1
          1       97094188073876           0           0           0           0           0           0           0           0           0           0       _fini matrixMultSimple           0           0
          0      126328550622196           1           0           0           0           0           1           0           0           0           0    .plt.got   libc.so.6           1           0
          1      126328550622196           0           0           0           0           0           0           0           0           0           0    .plt.got   libc.so.6           0           0
          0      126328550622612           1           0           0           0           1           0           0           0           0           1    .plt.sec   libc.so.6           0           0
          1      126328550622612           0           0           0           0           0           0           0           0           0           0    .plt.sec   libc.so.6           0           0
          0      126328550622820           1           0           0           0           0           1           0           0           0           0    .plt.sec   libc.so.6           1           0
          1      126328550622820           0           0           0           0           0           0           0           0           0           0    .plt.sec   libc.so.6           0           0
          0      126328550622900           1           0           0           0           0           1           0           0           0           0    .plt.sec   libc.so.6           1           0
          1      126328550622900           0           0           0           0           0           0           0           0           0           0    .plt.sec   libc.so.6           0           0
          0      126328550623012          20           0           0           0           0          20           0           0           0           0    .plt.sec   libc.so.6          20           0
          1      126328550623012           0           0           0           0           0           0           0           0           0           0    .plt.sec   libc.so.6           0           0
          0      126328550623156           1           0           0           0           0           1           0           0           0           0    .plt.sec   libc.so.6           1           0
          1      126328550623156           0           0           0           0           0           0           0           0           0           0    .plt.sec   libc.so.6           0           0
          0      126328550629476           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          1      126328550629476           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           0           1
          0      126328550629480           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          1      126328550629480           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          0      126328550629487           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629487           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629496           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629496           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629503           1           1           1           1           1           0           1           0           0           0       _init   libc.so.6           0           0
          1      126328550629503           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629506           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629506           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629513           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629513           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629519           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629519           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629526           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          1      126328550629526           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          0      126328550629534           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          1      126328550629534           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           0           1
          0      126328550629541           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          1      126328550629541           1           1           1           1           1           0           1           0           0           0       _init   libc.so.6           0           0
          0      126328550629548           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629548           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629549           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629549           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629588           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629588           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629602           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629602           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629639           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629639           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629646           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629646           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629655           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629655           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629662           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629662           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629671           1           0           0           0           0           1           0           0           0           0       _init   libc.so.6           1           0
          1      126328550629671           0           0           0           0           0           0           0           0           0           0       _init   libc.so.6           0           0
          0      126328550629712           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          1      126328550629712           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           0           1
          0      126328550629723           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          1      126328550629723           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          0      126328550629731           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          1      126328550629731           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           0           1
          0      126328550629734           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          1      126328550629734           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           0           1
          0      126328550629741           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          1      126328550629741           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          0      126328550629750           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          1      126328550629750           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          0      126328550629756           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          1      126328550629756           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          0      126328550629769           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          1      126328550629769           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          0      126328550629778           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          1      126328550629778           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          0      126328550629782           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          1      126328550629782           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          0      126328550629791           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          1      126328550629791           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          0      126328550629799           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          1      126328550629799           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          0      126328550629808           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          1      126328550629808           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          0      126328550629815           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
          1      126328550629815           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          0      126328550629822           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           0           1
          1      126328550629822           0           0           0           0           0           0           0           0           0           0     Unknown     Unknown           0           0
          0      126328550629825           1           0           0           0           0           1           0           0           0           0     Unknown     Unknown           1           0
